"","INSTNM","STABBR","ACCREDAGENCY","HIGHDEG","ADM_RATE_ALL","SAT_AVG_ALL","PCIP14","UGDS","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITFTE","INEXPFTE","AVGFACSAL","PCTFLOAN","PAR_ED_PCT_PS","DEP_INC_AVG","DEBT_MDN","AGE_ENTRY","FEMALE","VETERAN","FAMINC","GRADS"
"801","Interactive College of Technology-Morrow","GA","Council on Occupational Education",2,"NULL","NULL","0","53","17219","NULL","9290","9290","3941","1233","3294","0.4545","0.2252591894","13342.552987","6925","34.462658816","0.5168887512","0.0170436938","15671.104741","NULL"
"802","Albany Technical College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","2849","7841","NULL","2654","4794","1905","4396","3925","0.6908","0.5360576923","24634.633919","5500","26.831296992","0.6296992481","0.0098684211","20528.653665","NULL"
"803","Darton State College","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"NULL","NULL","0","3791","13311","NULL","3395","9470","2593","3582","5062","0.5727","0.5950515464","36512.890089","9500","25.406171511","0.7445281665","0.0043057051","33729.001435","NULL"
"804","Albany State University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.4967409948542","899","0","2576","19126","NULL","5490","15738","4259","7238","6117","0.7509","0.6648313833","38136.398164","26000","23.117001828","0.6648385131","PrivacySuppressed","34018.790981","447"
"805","Andrew College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"1","NULL","0.0179","267","29406","NULL","15770","15770","6634","4843","4177","0.8103","0.6703703704","48681.545455","9500","19.88961039","0.4902597403","PrivacySuppressed","47054.042208","NULL"
"806","Armstrong State University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.80375356997144","987","0","6180","25433","NULL","5360","15616","5724","5201","6097","0.5598","0.6783362218","58485.8","12500","23.406865861","0.6954863318","0.0111252384","47162.007311","760"
"807","The Art Institute of Atlanta","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"NULL","NULL","0","1955","29448","NULL","17592","17592","10045","4038","5065","0.8004","0.6317335945","41868.600969","13005","24.44519774","0.488700565","0.0127118644","31804.231073","NULL"
"808","Georgia Career Institute","GA","Council on Occupational Education",1,"NULL","NULL","0","506","NULL","15640","NULL","NULL","8796","2944","NULL","0.6545","0.5788690476","38265.726027","6544","27.055555556","0.9311594203","PrivacySuppressed","24761.98913","NULL"
"809","Atlanta Technical College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","3469","9367","NULL","2756","4892","1425","5010","4518","0.6258","0.515015015","26316.879874","7252.5","29.182402806","0.6807950892","0.0058462438","19281.699503","NULL"
"810","Point University","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"0.5143581081081","922","0","1358","28898","NULL","19200","19200","9390","5288","5599","0.7891","0.6365740741","56572.671662","12000","23.644139388","0.4329461457","PrivacySuppressed","50046.519535","32"
"811","Atlanta Metropolitan State College","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"NULL","NULL","0","2486","10302","NULL","3250","9588","1862","4431","4454","0.3631","0.6051905025","26849.163636","4500","24.264351852","0.6287037037","0.0060185185","21715.586111","NULL"
"812","Atlanta's John Marshall Law School","GA","American Bar Association",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","32684","8886","7337","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","488"
"813","Atlanta School of Massage","GA","Accrediting Commission of Career Schools and Colleges",1,"NULL","NULL","0","313","NULL","23959","NULL","NULL","16166","4139","NULL","0.8101","0.6241134752","49242.818182","7806","29.790554415","0.794661191","PrivacySuppressed","25110.909651","NULL"
"814","Clark Atlanta University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.71843846082176","914","0","3093","36988","NULL","22396","22396","17682","7671","6970","0.8439","0.6775226909","41133.515984","17500","19.823749416","0.762973352","PrivacySuppressed","39012.693782","791"
"815","Augusta Technical College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","4022","15014","NULL","2704","4840","1651","5813","5042","0","0.5504661532","23357.084859","3668","26.639851902","0.6132615281","0.0053853921","19209.205991","NULL"
"816","Bainbridge State College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","1878","8615","NULL","3227","9302","3016","4305","4636","0.3815","0.5348595213","29410.064972","7245","24.062056738","0.7065602837","PrivacySuppressed","24734.515957","NULL"
"817","Berry College","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.62093758987633","1183","0","2055","45873","NULL","33556","33556","14167","13255","7827","0.5403","0.8312586445","100629.95788","19000","19.653846154","0.6193633952","PrivacySuppressed","98593.749337","101"
"818","Beulah Heights University","GA","Transnational Association of Christian Colleges and Schools",4,"NULL","NULL","0","351","18230","NULL","9510","9510","9223","3688","3995","0.6505","0.5426356589","19689.785714","39000","43.598870056","0.4802259887","PrivacySuppressed","19233.175141","130"
"819","Brenau University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.35645569620253","973","0","1638","40016","NULL","27152","27152","15010","8181","7165","0.7074","0.5967588179","57041.912409","15500","29.514096186","0.8980099502","PrivacySuppressed","41657.783582","1246"
"820","Brewton-Parker College","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"NULL","NULL","0","462","29446","NULL","16960","16960","6976","4903","4334","0.4935","0.623853211","48644.197452","10404.5","20.842975207","0.3719008264","PrivacySuppressed","43910.939394","NULL"
"821","Brown College of Court Reporting","GA","Council on Occupational Education",2,"0.78947368421052","NULL","0","233","33979","NULL","12900","12900","13231","5963","4311","0.9779","0.5816326531","45831.647059","14062","37.75862069","PrivacySuppressed","PrivacySuppressed","29743.362069","NULL"
"822","College of Coastal Georgia","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"0.9520725388601","896","0","3174","15763","NULL","3821","10428","2610","6286","5942","0.4337","0.6217440544","51233.241864","6250","22.928900256","0.6828644501","0.0066496164","42709.178517","NULL"
"823","West Georgia Technical College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","5610","9904","NULL","2764","4900","2370","4697","4312","0.2045","0.5244648318","36198.237098","5415","25.920353982","0.6790733993","0.0039042166","29797.353462","NULL"
"824","Carver Bible College","GA","NULL",3,"NULL","NULL","0","52","21156","NULL","10460","10460","9969","3872","4152","0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","26.0625","PrivacySuppressed","PrivacySuppressed","20425.4375","NULL"
"825","Clayton  State University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.40915032679738","NULL","0","5752","17241","NULL","5340","15596","4816","6186","6497","0.5989","0.6207612457","42664.176346","17284","25.827098675","0.7063328424","0.0055964654","34119.605302","441"
"826","Columbia Theological Seminary","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2419","16990","6948","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","194"
"827","Columbus Technical College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","2689","14080","NULL","2704","4840","2076","4385","4343","0","0.5834767642","23599.646635","3960","26.221571498","0.6910688141","0.0073206442","20514.119571","NULL"
"828","Columbus State University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.53164556962025","963","0.0016","6557","18465","NULL","6031","16605","6594","7634","6454","0.5776","0.6704821367","53611.58364","15750","23.558638083","0.631778058","0.0059899117","46211.985498","1618"
"829","Georgia Northwestern Technical College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","4230","9234","NULL","2764","4900","1949","4863","5042","0.142","0.452876377","33047.044477","3681","25.877367896","0.640412097","0.0039880359","27568.657029","NULL"
"830","Covenant College","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.96241830065359","1191","0","981","42998","NULL","32230","32230","14994","9592","7380","0.499","PrivacySuppressed","PrivacySuppressed","19500","19.584615385","0.4861538462","PrivacySuppressed","100941.96923","53"
"831","Dalton State College","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"NULL","NULL","0","4780","12499","NULL","3503","10110","2559","4283","5637","0.3761","0.4881803189","41994.652348","6750","21.509624198","0.5985334555","PrivacySuppressed","38004.648946","NULL"
"832","Pro Way Hair School","GA","Council on Occupational Education",1,"NULL","NULL","0","158","NULL","17726","NULL","NULL","3287","5918","NULL","0.9237","0.4256410256","21708.125","10350","29.147679325","0.5316455696","PrivacySuppressed","14068.64135","NULL"
"833","South University-Savannah","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"NULL","NULL","0","627","27766","NULL","17016","17016","12695","4040","8258","0.5992","0.5277116627","41728.602636","10919","30.001843187","0.7628668652","0.0162342266","29130.921239","762"
"834","East Georgia State College","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"NULL","NULL","0","2785","9436","NULL","3067","9142","1869","3636","3972","0.5115","0.6689297125","40721.290717","5500","20.983559685","0.5818441744","0.0053609721","37091.275911","NULL"
"835","Emmanuel College","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"0.4054834054834","943","0","770","28192","NULL","19330","19330","10666","4243","5100","0.5905","0.6438053097","65200.125275","12000","20.096114519","0.4519427403","PrivacySuppressed","61252.605317","NULL"
"836","Emory University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.29119994399327","1382","0","6717","63058","NULL","47954","47954","26312","44906","13527","0.3131","0.8361297539","94018.34881","18222","20.600106213","0.6606479023","PrivacySuppressed","86143.937865","7206"
"837","Georgia Highlands College","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"NULL","NULL","0","5635","10550","NULL","3245","9320","2836","3209","4740","0.3143","0.5923547401","50025.524169","5000","22.759463087","0.6437583893","0.0037583893","42877.280268","NULL"
"838","Fort Valley State University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.26451208032632","855","0","2223","19486","NULL","5594","5594","3799","5294","6207","0.8601","0.6576506955","35624.334197","24250","21.706813489","0.5739848589","PrivacySuppressed","31807.319339","427"
"839","Grady Health System Professional Schools","GA","Joint Review Committee on Education in Radiologic Technology",1,"NULL","NULL","0","70","NULL","NULL","NULL","NULL","4760","6367","NULL","0.6615","PrivacySuppressed","24178.5","12500","27.872340426","0.7659574468","PrivacySuppressed","20241.893617","NULL"
"840","Georgia Institute of Technology-Main Campus","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.25773060796645","1417","0.6262","14766","25616","NULL","12212","32404","14368","12966","12361","0.2837","0.8508486818","101967.61483","21500","20.528551532","0.3774373259","PrivacySuppressed","94825.188719","11350"
"841","Georgia Southwestern State University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.68178545716342","975","0","2409","19297","NULL","5262","15518","5079","6520","6003","0.5807","0.6547987616","55307.84127","11500","24.136039886","0.6595441595","PrivacySuppressed","48977.674501","396"
"842","Georgia College & State University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.84522613065326","1116","0","5923","26856","NULL","9202","27550","8436","6329","6788","0.4423","0.800933126","95010.334037","15621.5","20.107355865","0.6411530815","PrivacySuppressed","90505.874254","868"
"843","Georgia Southern University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.64551555826723","1110","0.0719","17349","22417","NULL","6273","16847","6007","6379","6723","0.6045","0.7489965596","71150.214512","17029","20.740237005","0.5293563156","0.002423916","65829.271209","2668"
"844","Georgia State University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.56553461957952","1070","0","24478","24223","NULL","8974","23542","7977","7370","8592","0.5562","0.6767618609","48861.041","12500","23.290572339","0.6300794494","0.0049592632","41486.425333","7009"
"845","University of Georgia","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.53899709174231","1262","0.0161","27851","24991","NULL","11634","29844","12015","9244","10885","0.3646","0.8184940918","88418.264784","17108","20.454007884","0.5743758213","PrivacySuppressed","83743.288699","8623"
"846","Gordon State College","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"0.54334140435835","853","0","3577","18449","NULL","3974","11719","2102","5259","5412","0.5566","0.6218721038","44015.8683","8250","21.516701031","0.6329896907","PrivacySuppressed","39724.501031","NULL"
"847","Southern Crescent Technical College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","4035","13773","NULL","2758","4894","2501","4968","4778","0","0.507349853","25420.129952","3500","26.869308307","0.6750086896","0.0041710115","21160.90789","NULL"
"848","Gupton Jones College of Funeral Service","GA","American Board of Funeral Service Education Committee on Accreditation",2,"NULL","NULL","0","236","21109","NULL","11700","11700","9223","3148","3333","0.6907","0.5644599303","28989.214286","9500","29.075301205","0.656626506","PrivacySuppressed","22049.560241","NULL"
"849","Gwinnett College-Lilburn","GA","Accrediting Council for Independent Colleges and Schools",2,"NULL","NULL","0","286","26819","NULL","9925","9925","8096","1232","2081","0.8366","0.4971910112","27442.335404","9395","32.003134796","0.9038662487","0.0114942529","21400.07419","NULL"
"850","Gwinnett Technical College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","6627","12444","NULL","2796","4932","2776","5357","4982","0.3317","0.5969920979","40237.202913","6000","27.514515787","0.6175037084","0.0072049163","31315.652045","NULL"
"851","Interdenominational Theological Center","GA","Commission on Accrediting of the Association of Theological Schools",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22734","13689","5147","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","280"
"852","LaGrange College","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.57716836734693","1021","0","902","42255","NULL","28490","28490","14189","12834","6205","0.7643","0.7454873646","72103.635838","12875","21.045075125","0.4323873122","PrivacySuppressed","65512.547579","120"
"853","Lanier Technical College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","3177","11318","NULL","3169","5839","2923","5736","4807","0","0.4848484848","28806.937008","PrivacySuppressed","26.536764706","0.6660539216","0.006127451","23606.566176","NULL"
"854","Life University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.92142857142857","927","0","718","34353","NULL","11220","11220","19801","5636","7387","0.6214","0.7078891258","59135.37457","8333","24.52259332","0.5776031434","PrivacySuppressed","41369.381139","1974"
"855","Chattahoochee Technical College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","8748","9186","NULL","2746","4882","2908","3844","4688","0","0.5815285039","26634.763708","PrivacySuppressed","25.891814068","0.6254627725","0.006993007","22300.170506","NULL"
"856","Herzing University-Atlanta","GA","Higher Learning Commission",4,"0.91256157635468","NULL","0","599","28209","NULL","13830","13830","11808","4350","6033","0.7107","0.4790967348","42942.389088","11766","31.289940828","0.8135465189","0.0093163792","26184.228503","129"
"857","Mercer University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.69354838709677","1211","0.0807","4645","48766","NULL","35130","35130","16301","11242","8217","0.6505","0.7180043384","84040.15207","21350","25.524951076","0.6638943249","PrivacySuppressed","63938.455969","3909"
"858","Morehouse College","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"0.66070307595731","994","0.0078","2104","47860","NULL","26742","26742","13613","10970","7438","0.7334","0.8028301887","68427.534435","19500","19.719101124","PrivacySuppressed","PrivacySuppressed","64861.72083","NULL"
"859","Morehouse School of Medicine","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","29699","128486","NULL","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","480"
"860","North Georgia Technical College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","2389","12401","NULL","2734","4870","2465","5716","4150","0.2702","0.5066050198","33906.300412","6000","24.754879449","0.6119402985","PrivacySuppressed","27852.814007","NULL"
"861","Oglethorpe University","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"0.8040260509177","1125","0.0053","1183","48302","NULL","35280","35280","11116","6655","6703","0.7238","0.8007590133","73013.49497","15500","20.604938272","0.6014109347","PrivacySuppressed","66658.213404","NULL"
"862","Paine College","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"0.24582398404387","745","0","419","24239","NULL","14224","14224","11066","16051","4455","0.8811","0.6214285714","32102.562963","16000","20.809677419","0.5548387097","PrivacySuppressed","29082.587097","NULL"
"863","Piedmont College","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.57153558052434","991","0","1295","33659","NULL","23112","23112","11246","8150","6056","0.6806","0.6851351351","70515.182143","15681","23.332080201","0.6679197995","PrivacySuppressed","57076.289474","971"
"864","Miami Ad School at Portfolio Center","GA","Council on Occupational Education",1,"NULL","NULL","0","63","NULL","NULL","19400","19400","6425","4713","NULL","0.4938","PrivacySuppressed","152068.92308","15333","27.025","0.55","PrivacySuppressed","62091.575","NULL"
"865","Reinhardt University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.87450980392156","965","0","1326","31939","NULL","21644","21644","11807","6997","5901","0.6783","0.634543179","62937.390728","12000","23.955377574","0.4279176201","PrivacySuppressed","55126.078947","110"
"866","Savannah Technical College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","3509","10134","NULL","2704","4840","2129","3681","4388","0","0.5580163698","26042.723214","3500","26.596308186","0.6452648475","0.0112359551","21512.999197","NULL"
"867","Savannah College of Art and Design","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.7171438733772","1086","0.0052","9931","53657","NULL","35690","35690","25320","9260","8876","0.4539","0.8236957888","95426.340368","19532.5","20.956806673","0.690795353","PrivacySuppressed","86153.582365","2359"
"868","Savannah State University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.50784856879039","823","0","4627","16542","NULL","5644","15900","3008","5497","5714","0.8039","0.6720351391","36312.630621","13449","20.596701164","0.6047865459","PrivacySuppressed","33456.498706","183"
"869","Shorter University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.61177753544165","961","0","1342","33083","NULL","21730","21730","9424","6012","5089","0.6344","0.6461538462","57618.850482","19000.5","26.018572825","0.5464320626","PrivacySuppressed","47983.680352","88"
"870","South Georgia Technical College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","1466","11793","NULL","2744","4880","2420","6454","4356","0","0.5217391304","20976.7849","PrivacySuppressed","23.968911917","0.5621761658","PrivacySuppressed","18093.265976","NULL"
"871","The Creative Circus","GA","Council on Occupational Education",1,"NULL","NULL","0","249","27104","NULL","17115","17115","21223","6804","NULL","0.5806","PrivacySuppressed","120398.05455","18875","26.64673913","0.5652173913","PrivacySuppressed","51221.76087","NULL"
"872","Spelman College","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"0.35732451678535","1092","0.0022","2122","44933","NULL","27314","27314","16322","12908","8055","0.827","0.7929125138","66727.868922","24500","19.419321686","PrivacySuppressed","PrivacySuppressed","64944.14594","NULL"
"873","Thomas University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.47355769230769","NULL","0","722","28432","NULL","16940","16940","12544","5949","5058","0.6542","0.5448851775","53551.238866","13250","27.933085502","0.5724907063","PrivacySuppressed","43897.414498","387"
"874","Toccoa Falls College","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"0.54143019296254","962","0","796","33616","NULL","21414","21414","10295","5432","5286","0.5582","0.7004310345","59489.258312","13750","22.21010101","0.5070707071","PrivacySuppressed","52323.872727","NULL"
"875","Truett McConnell University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.90607734806629","953","0","740","29321","NULL","18510","18510","9690","4404","3979","0.2534","0.7105263158","68347.356061","12000","20.986636971","0.561247216","PrivacySuppressed","63203.198218","35"
"876","Wiregrass Georgia Technical College","GA","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","2466","8765","NULL","2744","4880","2426","5320","4084","0","0.5201201201","23406.650999","1926","26.475699558","0.6593028964","0.0063819342","19837.830633","NULL"
"877","Valdosta State University","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.65133124510571","982","0","8589","21191","NULL","6297","16891","6067","7019","6536","0.6306","0.6924569488","55725.046946","15750","22.320455561","0.6277355962","0.0044662796","49340.930549","2595"
"878","Wesleyan College","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.37648456057007","1035","0","559","31983","NULL","21750","21750","10725","10404","6487","0.4424","0.6484375","54957.517949","17735","22.501818182","PrivacySuppressed","PrivacySuppressed","46198.323636","46"
"879","University of West Georgia","GA","Southern Association of Colleges and Schools Commission on Colleges",4,"0.59092049159769","945","0","10599","21242","NULL","6143","16717","5758","7029","6326","0.6354","0.681194815","56111.376873","12750","21.510015408","0.6435541859","0.0017120356","52120.809622","2153"
"880","Young Harris College","GA","Southern Association of Colleges and Schools Commission on Colleges",3,"0.55036433776253","1004","0","1118","40161","NULL","29012","29012","10118","8967","6051","0.6063","0.718","79068.45809","12125","19.80148423","0.5918367347","PrivacySuppressed","75738.641929","NULL"
"881","Chaminade University of Honolulu","HI","Western Association of Schools and Colleges Senior Colleges and University Commission",4,"0.91330166270783","976","0","1651","33824","NULL","23310","23310","16541","9076","7929","0.4675","0.5766174801","52419.884058","13000","24.24012474","0.7130977131","PrivacySuppressed","41390.179834","597"
"882","University of Hawaii at Hilo","HI","Western Association of Schools and Colleges Senior Colleges and University Commission",4,"0.69097651421508","978","0","2962","19087","NULL","7650","20610","7769","13769","9662","0.45","0.6344936709","55052.016878","12500","24.144832606","0.6892285298","PrivacySuppressed","42259.322416","591"
"883","University of Hawaii at Manoa","HI","Western Association of Schools and Colleges Senior Colleges and University Commission",4,"0.84977729788095","1075","0.0685","12767","22153","NULL","11732","33764","11125","20641","11561","0.3693","0.6615693156","71223.644512","14000","22.499538319","0.5987996307","0.0039242844","58432.105494","4924"
"884","Hawaii Institute of Hair Design","HI","Accrediting Commission of Career Schools and Colleges",1,"NULL","NULL","0","84","NULL","17011","NULL","NULL","6825","3233","NULL","0.4296","0.4076923077","36902.217391","5745","28.155844156","0.474025974","PrivacySuppressed","25630.922078","NULL"
"885","Hawaii Pacific University","HI","Western Association of Schools and Colleges Senior Colleges and University Commission",4,"0.75366837857666","NULL","0","3384","38052","NULL","23440","23440","17085","6617","8104","0.3722","0.6416243655","79855.796117","13250","23.115279048","0.6944190302","PrivacySuppressed","63441.804209","645"
"886","Honolulu Community College","HI","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",2,"NULL","NULL","0","2997","10082","NULL","3054","8190","2891","10343","8024","0.11","0.5443850267","42080.822526","5500","25.315647482","0.4217625899","PrivacySuppressed","31721.498201","NULL"
"887","Kapiolani Community College","HI","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",2,"NULL","NULL","0","5235","10458","NULL","3084","8220","4124","8847","8499","0.1018","0.5817277812","40344.638993","5793","24.432198811","0.6077795786","0.0086439762","32399.418693","NULL"
"888","Kauai Community College","HI","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",2,"NULL","NULL","0","1045","12774","NULL","3132","8268","2220","15775","8014","0.0999","0.4953488372","38227.691406","6457","25.225672878","0.66873706","PrivacySuppressed","28578.63147","NULL"
"889","Leeward Community College","HI","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",2,"NULL","NULL","0","5274","8054","NULL","3084","8220","3030","7176","8160","0.0563","0.5529350105","39789.298394","4759","25.240268456","0.6263982103","0.0116331096","32031.598658","NULL"
"890","University of Hawaii Maui College","HI","Western Association of Schools and Colleges Senior Colleges and University Commission",3,"NULL","NULL","0","2694","13256","NULL","3150","8286","2567","14037","8172","0.2296","0.5015447992","38843.834188","10047","26.32","0.6027272727","PrivacySuppressed","27984.201818","NULL"
"891","Med-Assist School of Hawaii Inc","HI","NULL",1,"NULL","NULL","0","39","NULL","28212","NULL","NULL","6432","5527","NULL","0.4556","PrivacySuppressed","44485.333333","6000","26.385964912","PrivacySuppressed","PrivacySuppressed","22027.438596","NULL"
"892","World Medicine Institute","HI","NULL",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","15290","10699","NULL","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","46"
"893","Travel Institute of the Pacific","HI","Accrediting Commission of Career Schools and Colleges",1,"NULL","NULL","0","70","NULL","29645","NULL","NULL","6546","7518","NULL","0.35","PrivacySuppressed","36515.7","9500","32.526315789","0.4912280702","0.2807017544","30499.210526","NULL"
"894","University of Hawaii-West Oahu","HI","Western Association of Schools and Colleges Senior Colleges and University Commission",3,"0.68056787932564","NULL","0","2757","14526","NULL","7440","20400","5242","10553","9095","0.2786","0.5746402878","57409.165441","9500","27.66507177","0.7033492823","0.0175438596","39991.050239","NULL"
"895","Windward Community College","HI","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",2,"NULL","NULL","0","1489","13791","NULL","3064","8200","2649","10246","8191","0.1368","0.5196451204","45764.890244","6000","25.92652124","0.6693455798","0.0126291619","31389.72101","NULL"
"896","Carrington College-Boise","ID","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",2,"0.58513931888544","NULL","0","440","NULL","30278","NULL","NULL","16907","6197","5504","0.5541","0.5111542192","49441.822086","9500","28.407704655","0.8555377207","0.0112359551","33371.566613","NULL"
"897","Boise Bible College","ID","Association for Bibical Higher Educaiton",3,"0.9","1009","0","134","25973","NULL","11750","11750","11182","10124","6011","0.4533","PrivacySuppressed","52349.68254","15375","22.786666667","0.4533333333","PrivacySuppressed","48869.813333","NULL"
"898","Boise State University","ID","Northwest Commission on Colleges and Universities",4,"0.8172869147659","1047","0.0514","16045","18298","NULL","7080","21530","7869","8187","7491","0.4091","0.6652914798","77977.025342","14635","23.650083195","0.56921797","0.0039933444","62341.39584","3668"
"899","College of Eastern Idaho","ID","Northwest Commission on Colleges and Universities",2,"NULL","NULL","0","559","17322","NULL","2434","8836","1708","12270","5749","0.3852","0.5904522613","51902.219178","8250","27.400890869","0.5879732739","PrivacySuppressed","33411.857461","NULL"
"900","Idaho State University","ID","Northwest Commission on Colleges and Universities",4,"NULL","NULL","0.0401","8307","19526","NULL","6956","21023","8273","10758","6680","0.4098","0.639414277","59120.78417","12750","23.464146748","0.5705947749","0.0036131184","47397.302112","1950"
"901","University of Idaho","ID","Northwest Commission on Colleges and Universities",4,"0.75894506971275","1070","0.1006","7735","20045","NULL","7232","22040","8865","10712","8787","0.4722","0.6821238938","68388.342937","16750","21.458624128","0.5058158857","0.0043203722","59886.374211","2194"
"902","The College of Idaho","ID","Northwest Commission on Colleges and Universities",4,"0.84820512820512","NULL","0.0038","953","38600","NULL","27425","27425","13273","9157","6651","0.6161","0.7319277108","80317.75","20250","20.354570637","0.4819944598","PrivacySuppressed","76542.144044","18"
"903","Lewis-Clark State College","ID","Northwest Commission on Colleges and Universities",3,"0.97153024911032","937","0.0044","3038","15475","NULL","6120","17620","5034","7893","5817","0.5904","0.5952986023","58112.192153","10000","25.071305348","0.6354226567","PrivacySuppressed","43630.445083","NULL"
"904","Aveda Institute-Twin Falls","ID","National Accrediting Commission of Career Arts and Sciences",1,"NULL","NULL","0","50","NULL","15900","NULL","NULL","4719","2196","NULL","0.7212","PrivacySuppressed","41558.451613","9750","24.220779221","PrivacySuppressed","PrivacySuppressed","24208.792208","NULL"
"905","Mr Leon's School of Hair Design-Moscow","ID","National Accrediting Commission of Career Arts and Sciences",1,"NULL","NULL","0","15","NULL","15006","NULL","NULL","12148","2457","NULL","0.7727","0.3448275862","72816.736842","12750","27.098591549","PrivacySuppressed","PrivacySuppressed","26246.676056","NULL"
